-93.261158,39.293554,6.10,24538701,1,48,180,20.50,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261147,39.293548,5.60,24538702,1,50,180,20.50,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261141,39.293540,6.60,24538703,1,50,180,20.50,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261128,39.293534,8.40,24538704,1,50,180,20.50,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261122,39.293526,8.40,24538705,1,50,180,20.50,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261114,39.293518,7.90,24538706,1,49,180,20.50,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261103,39.293509,7.80,24538707,1,48,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261091,39.293495,6.90,24538708,1,48,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261086,39.293484,7.50,24538709,1,47,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261080,39.293476,7.80,24538710,1,41,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261072,39.293468,5.10,24538711,1,41,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261069,39.293459,6.00,24538712,1,46,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261064,39.293448,5.90,24538713,1,46,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261064,39.293434,5.60,24538714,1,45,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261058,39.293423,5.10,24538715,1,46,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261055,39.293415,4.70,24538716,1,33,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261053,39.293406,3.10,24538717,1,27,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261053,39.293406,2.40,24538718,1,19,180,20.60,1,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261053,39.293406,1.70,24538719,1,29,180,20.60,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261055,39.293418,1.10,24538720,1,25,180,20.60,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261055,39.293423,0.90,24538721,1,26,180,20.60,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261055,39.293426,0.60,24538722,1,26,180,20.60,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261055,39.293431,0.70,24538723,1,24,180,21.10,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261053,39.293434,0.50,24538724,1,14,180,21.10,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261053,39.293434,0.00,24538725,1,13,180,21.40,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261053,39.293437,0.20,24538726,1,11,180,21.40,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261053,39.293440,0.10,24538727,1,10,180,21.40,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261050,39.293440,0.00,24538728,1,11,180,21.40,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261047,39.293445,0.00,24538729,1,11,180,21.50,0,1,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261047,39.293445,0.00,24538730,1,0,180,21.50,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261047,39.293448,0.00,24538731,1,4,180,21.50,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261047,39.293448,0.10,24538732,1,4,180,21.50,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261047,39.293448,0.00,24538733,1,0,180,21.50,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261047,39.293448,0.00,24538734,1,0,180,21.50,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261047,39.293437,0.00,24538735,1,0,180,21.50,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261044,39.293437,0.00,24538736,1,26,180,21.50,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261047,39.293431,0.00,24538737,1,39,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261055,39.293420,0.80,24538738,1,45,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261061,39.293406,4.00,24538739,1,57,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261064,39.293395,8.30,24538740,1,58,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261072,39.293381,10.50,24538741,1,57,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261080,39.293368,13.50,24538742,1,57,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261089,39.293354,13.40,24538743,1,58,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261097,39.293337,12.20,24538744,1,59,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261108,39.293326,11.00,24538745,1,60,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261116,39.293315,12.40,24538746,1,59,180,21.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261125,39.293304,11.60,24538747,1,59,180,21.00,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261141,39.293290,10.80,24538748,1,60,180,21.00,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261153,39.293279,8.90,24538749,1,60,180,21.00,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261164,39.293268,7.90,24538750,1,60,180,21.00,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261178,39.293259,7.30,24538751,1,60,180,21.00,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261194,39.293251,10.90,24538752,1,61,180,21.00,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261208,39.293243,10.70,24538753,1,62,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261222,39.293229,10.30,24538754,1,61,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261236,39.293220,10.30,24538755,1,61,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261253,39.293212,9.10,24538756,1,63,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261266,39.293206,9.10,24538757,1,63,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261289,39.293201,10.30,24538758,1,62,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261305,39.293195,11.50,24538759,1,63,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261325,39.293190,8.40,24538760,1,63,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
-93.261344,39.293184,7.00,24538761,1,63,180,20.70,1,2,3260,"F1: C3S","L1: ","Corn","DK 616"
